features,varimp
Column_14,1251
Column_30,1199
Column_25,1162
Column_15,1124
Column_4,1096
Column_11,876
Column_39,813
Column_21,786
Column_3,700
Column_10,658
Column_13,657
Column_22,632
Column_16,518
Column_32,479
Column_40,414
Column_33,410
Column_41,401
Column_23,304
Column_6,304
Column_29,267
Column_17,248
Column_12,245
Column_9,240
Column_26,220
Column_45,219
Column_34,217
Column_0,184
Column_31,180
Column_36,175
Column_42,157
Column_27,156
Column_5,147
Column_35,132
Column_44,125
Column_37,96
Column_24,79
Column_38,72
Column_2,68
Column_19,53
Column_18,38
Column_7,30
Column_20,26
Column_1,23
Column_8,8
Column_28,0
Column_43,0
