features,varimp
Column_15,892
Column_30,756
Column_14,737
Column_25,719
Column_52,630
Column_39,626
Column_47,620
Column_4,585
Column_21,526
Column_3,458
Column_11,452
Column_10,450
Column_7,436
Column_13,422
Column_48,402
Column_8,361
Column_16,352
Column_40,348
Column_32,339
Column_33,337
Column_41,319
Column_49,282
Column_6,246
Column_5,220
Column_23,209
Column_17,178
Column_9,175
Column_29,169
Column_12,158
Column_26,155
Column_31,149
Column_34,128
Column_22,124
Column_43,121
Column_36,104
Column_27,102
Column_50,95
Column_35,92
Column_2,90
Column_42,87
Column_28,86
Column_0,84
Column_37,50
Column_38,49
Column_24,47
Column_19,40
Column_53,34
Column_44,27
Column_18,25
Column_20,15
Column_51,14
Column_54,14
Column_1,6
Column_45,0
Column_46,0
