features,varimp,
Column_15,628,
Column_30,585,
Column_25,563,
Column_14,522,
Column_39,465,
Column_4,441,
Column_21,427,
Column_11,401,
Column_10,394,
Column_3,373,
Column_13,346,
Column_16,328,
Column_7,308,connection timeout
Column_33,286,
Column_32,281,
Column_40,248,
Column_8,247,active
Column_41,215,
Column_28,212,standby
Column_23,185,
Column_6,178,
Column_5,176,
Column_29,168,
Column_17,166,
Column_22,158,
Column_26,146,
Column_9,145,
Column_34,142,
Column_31,129,
Column_12,120,
Column_27,89,
Column_36,86,
Column_35,77,
Column_0,72,
Column_2,65,
Column_37,56,
Column_24,43,
Column_19,37,
Column_38,33,
Column_18,29,
Column_1,7,
Column_20,6,
